Тяжелый;Бетон тяжелый;B25;40%-75%;Слой меньше 1.5м;Железобетонная
;;;;;
;;C;CL;N;NL
Модуль деформации/упругости;Eb;30000000.0;8571428.57142857;30000000.0;8571428.57142857
Прочность бетона при сжатии;Rb;14500.0;13050.0;18500.0;18500.0
Прочность бетона при растяжении;Rbt;-1050.0;-945.0;-1550.0;-1550.0
Относительная деформация растяжения;ebt2;-0.00015;-0.00031;-0.00015;-0.00031
Относительная деформация растяжения;ebt0;-0.0001;-0.00024;-0.0001;-0.00024
Относительная деформация растяжения;ebt1;-2.1e-05;-6.615000000000001e-05;-3.1e-05;-0.00010850000000000001
Относительная деформация сжатия;eb1;0.00029;0.0009135;0.00037;0.0012950000000000001
Относительная деформация сжатия;eb0;0.002;0.0034;0.002;0.0034
Относительная деформация сжатия;eb2;0.0035;0.0048;0.0035;0.0048
Приведенная деформация растяженя;ebt1red;-8.5e-05;-0.00022;-8.5e-05;-0.00022
Приведенная деформация сжатия;eb1red;0.0015;0.0028;0.0015;0.0028
