;Rsn;Rs;Rsc_long;Rsc_short;Es
A240;240.00;210.00;-210.00;-210.00;200000.00
A400;400.00;350.00;-350.00;-350.00;200000.00
A500;500.00;435.00;-435.00;-400.00;200000.00
B500;500.00;435.00;-415.00;-380.00;200000.00
Bp500;500.00;415.00;-390.00;-360.00;200000.00
A600;600.00;520.00;-470.00;-400.00;200000.00
A800;800.00;695.00;-500.00;-400.00;200000.00
A1000;1000.00;870.00;-500.00;-400.00;200000.00
Bp1200;1200.00;1050.00;-500.00;-400.00;200000.00
Bp1300;1300.00;1130.00;-500.00;-400.00;200000.00
Bp1400;1400.00;1215.00;-500.00;-400.00;200000.00
Bp1500;1500.00;1300.00;-500.00;-400.00;200000.00
Bp1600;1600.00;1390.00;-500.00;-400.00;200000.00
K1400;1400.00;1215.00;-500.00;-400.00;195000.00
K1500;1500.00;1300.00;-500.00;-400.00;195000.00
K1600;1600.00;1390.00;-500.00;-400.00;195000.00
K1650;1650.00;1435.00;-500.00;-400.00;195000.00
K1700;1700.00;1475.00;-500.00;-400.00;195000.00
